title,year,score
VWPASSAT,2002,1
VWAMAROK,2013,1
VWGOLF,2001,2
VWGOLF,2003,0
VWGOLF,1999,2
VWAMAROK,2015,0
VWGOLF,2019,0
VWPASSATVARIANT,2005,1
VWSHARAN,1998,2
VWTOUAREG,2007,0
VWPASSAT,2016,1
VWGOLFPLUS,2007,0
VWPASSATVARIANT,2000,1
VWJETTA,2017,0
VWGOLF,2018,0
VWGOLF,2017,0
VWMULTIVAN,2003,1
VWCADDY,2006,1
VWTOURAN,2006,1
VWTIGUAN,2019,0
VWTOUAREG,2006,2
VWTIGUAN,2019,0
VWSHARAN,2005,2
VWGOLF,1998,2
VWCADDY,2009,2
VWGOLF,2003,2
VWCADDY,2019,2
VWPASSATVARIANT,2000,2
VWPASSAT,2007,2
VWPOLO,2006,1
VWCRAFTER,2007,1
VWJETTA,2017,0
VWPASSAT,2007,2
VWGOLFPLUS,2005,2
VWGOLF,2017,2
VWGOLF,1999,1
VWPASSAT,2017,0
VWT-ROC,2019,0
VWGOLFVARIANT,2003,1
VWPASSAT,2002,2
VWPASSATVARIANT,2000,2
VWGOLF,2000,1
VWGOLF,1997,1
VWPASSAT,2015,0
VWPASSAT,2012,2
VWTRANSPORTER,2001,2
VWMULTIVAN,2003,0
VWPASSAT,2013,2
VWTRANSPORTER,2003,2
VWCARAVELLE,2007,2
VWARTEON,2019,0
VWCADDY,2014,1
VWGOLF,2000,2
VWPASSAT,2000,2
VWCARAVELLE,2014,0
VWPOLO,2008,2
VWTOURAN,2003,2
VWPASSATVARIANT,2002,2
VWPASSAT,2011,2
VWSHARAN,2004,2
VWTIGUAN,2019,0
VWSHARAN,2003,1
VWPASSATVARIANT,1998,2
VWCADDY,2008,1
VWGOLF,2011,1
VWGOLF,1987,1
VWCARAVELLE,2011,0
VWTRANSPORTER,2001,2
VWPASSATVARIANT,2007,1
VWTIGUAN,2017,0
VWGOLF,1999,1
VWBORAVARIANT,2001,1
VWPASSATVARIANT,2001,1
VWTOURAN,2007,1
VWGOLF,2017,1
VWGOLF,2005,1
VWLT46,2000,2
VWPASSAT,2006,2
VWPASSATVARIANT,1998,1
VWGOLF,2004,0
VWJETTA,2017,0
VWPASSAT,2005,1
VWSHARAN,2011,2
VWPASSAT,2003,2
VWPASSATVARIANT,2003,1
VWGOLF,1994,2
VWPASSAT,1990,1
VWGOLF,2016,2
VWTRANSPORTER,2006,1
VWTIGUAN,2019,0
VWPASSAT,2008,0
VWCRAFTER,2020,1
VWPASSAT,2007,2
VWTIGUAN,2017,1
VWCADDY,2008,2
VWPASSAT,2012,1
VWGOLFVARIANT,2002,2
VWTRANSPORTER,1990,2
VWGOLF,2017,0
VWPASSAT,2017,0
VWCADDYLIFE,2006,1
VWPASSAT,1997,1
VWFOX,2006,1
VWTRANSPORTER,2005,2
VWTIGUAN,2019,0
VWSHARAN,2002,1
VWSHARAN,2002,1
VWGOLF,1998,2
VWPASSAT,1997,1
VWGOLFVARIANT,1998,2
VWGOLF,2001,1
VWGOLFVARIANT,2008,1
VWTIGUAN,2008,1
VWPOLO,2005,2
VWPASSAT,2017,0
VWPASSAT,2006,2
VWCARAVELLE,1998,1
VWPASSATVARIANT,1998,1
VWGOLF,2000,0
VWPHAETON,2008,0
VWMULTIVAN,2019,0
VWPASSATVARIANT,2001,1
VWGOLFVARIANT,2006,0
VWGOLFPLUS,2009,0
VWGOLF,2019,0
VWJETTA,2007,1
VWGOLF,2006,1
VWPASSAT,2015,0
VWSHARAN,2006,1
VWPASSAT,2000,2
VWGOLF,1998,1
VWTRANSPORTER,2002,2
VWGOLF,1998,2
VWPASSAT,2016,0
VWCADDY,2012,1
VWGOLF,1999,2
VWTOUAREG,2012,1
VWGOLFVARIANT,1999,0
VWTOURAN,2004,2
VWPASSAT,2016,0
VWGOLF,1999,2
VWPASSAT,2014,0
VWPOLO,2014,0
VWTIGUAN,2008,2
VWSHARAN,1998,2
VWTIGUAN,2019,0
VWCADDYLIFE,2008,1
VWGOLF,2001,2
VWMULTIVAN,1998,1
VWTRANSPORTER,2003,2
VWPASSAT,2008,1
VWCRAFTER,2012,2
VWPASSAT,2010,0
VWPASSAT,2004,2
VWGOLF,2009,0
VWGOLF,2006,2
VWTRANSPORTER,2010,0
VWTOURAN,2014,2
VWMULTIVAN,1992,1
VWSHARAN,2017,0
VWPASSATVARIANT,2005,0
VWPASSATVARIANT,2001,1
VWTIGUAN,2017,0
VWLT35,2000,2
VWCRAFTER,2019,1
VWPASSAT,2004,1
VWSHARAN,2003,2
VWTOURAN,2003,0
VWTIGUAN,2019,1
VWGOLF,2011,1
VWGOLF,1992,2
VWLT28,2000,2
VWGOLF,1998,1
VWTIGUAN,2011,0
VWPASSATVARIANT,2004,1
VWJETTA,2006,2
VWTOURAN,2009,0
VWGOLF,2008,0
VWPASSAT,2015,2
VWLT35,2004,2
VWTOURAN,2014,1
VWKOMBI,2013,2
VWCADDY,2017,1
VWUP!,2014,2
VWTOURAN,2013,1
VWPASSAT,2012,1
VWGOLF,1998,1
VWPASSAT,2017,0
VWKOMBI,2017,0
VWPASSAT,2017,0
VWKOMBI,2017,2
VWTOUAREG,2019,0
VWPASSAT,2006,2
VWGOLF,2010,1
VWCADDYLIFE,2007,1
VWGOLFPLUS,2009,2
VWSHARAN,2012,0
VWPASSAT,2008,1
VWPASSATVARIANT,2003,2
VWGOLF,2017,1
VWTIGUAN,2019,0
VWPASSAT,2010,2
VWCADDYLIFE,2006,1
VWJETTA,2017,0
VWGOLF,2000,1
VWTOURAN,2007,1
VWTIGUAN,2009,0
VWCADDYLIFE,2008,1
VWPASSATVARIANT,2002,1
VWPASSAT,2017,0
VWPASSAT,2007,0
VWPASSAT,2007,1
VWPASSAT,2015,1
VWCADDY,2016,0
VWCADDY,2017,0
VWPASSATVARIANT,1995,1
VWGOLFPLUS,2010,0
VWPASSAT,2008,1
VWGOLF,2001,1
VWCRAFTER,2020,2
VWTRANSPORTER,2004,1
VWCRAFTER,2016,1
VWCRAFTER,2008,0
VWTIGUAN,2009,0
VWGOLF,2002,1
VWCADDY,2009,2
VWGOLFVARIANT,1999,1
VWMULTIVAN,2003,2
VWTRANSPORTER,2007,2
VWCRAFTER,2015,2
VWGOLF,1998,2
VWGOLF,2019,1
VWGOLF,2012,1
VWPASSAT,2012,0
VWTOUAREG,2016,0
VWVENTO,1993,2
VWPASSATVARIANT,2003,2
VWCRAFTER,2012,2
VWTOUAREG,2004,1
VWPASSAT,1991,1
VWPASSAT,2017,0
VWPOLO,2016,0
VWT-ROC,2019,0
VWJETTA,2011,2
VWGOLF,2004,2
VWTIGUAN,2019,2
VWGOLFVARIANT,2002,1
VWPASSATVARIANT,2006,1
VWTRANSPORTER,2005,2
VWTOURAN,2007,1
VWGOLF,2008,1
VWGOLF,2015,1
VWCARAVELLE,1999,1
VWPASSAT,2014,0
VWTRANSPORTER,2000,2
VWGOLFVARIANT,2003,2
VWGOLF,2008,1
VWTRANSPORTER,2000,2
VWTOURAN,2008,1
VWGOLF,2000,1
VWPASSATVARIANT,2002,2
VWGOLF,2008,0
VWTIGUAN,2019,0
VWPASSAT,2015,0
VWPASSAT,2006,2
VWCRAFTER,2019,0
VWTOUAREG,2014,0
VWGOLFPLUS,2009,0
VWLT35,2001,2
VWCRAFTER,2018,0
VWGOLFVARIANT,2008,1
VWPASSATVARIANT,1997,2
VWGOLF,1999,2
VWTRANSPORTER,2007,2
VWCARAVELLE,2008,2
VWPOLO,1999,2
VWTRANSPORTER,1993,2
VWGOLF,2011,0
VWPASSATVARIANT,1990,2
VWTRANSPORTER,2004,2
VWPASSAT,2013,0
VWTRANSPORTER,2012,1
VWTIGUAN,2019,1
VWPASSATVARIANT,2005,1
VWVENTO,1997,1
VWTRANSPORTER,2003,2
VWTRANSPORTER,2001,2
VWGOLF,2001,1
VWTOURAN,2004,2
VWPASSAT,2003,1
VWGOLF,1998,1
VWCARAVELLE,2002,2
VWMULTIVAN,2003,2
VWTOUAREG,2009,1
VWPOLO,2002,2
VWTIGUAN,2019,0
VWSHARAN,2006,2
VWPASSAT,2011,1
VWTOURAN,2007,0
VWJETTA,2010,1
VWPASSAT,2008,1
VWGOLF,2014,1
VWCRAFTER,2011,2
VWTRANSPORTER,1999,1
VWPASSAT,2000,2
VWCRAFTER,2008,1
VWPASSAT,2014,1
VWCADDY,2008,1
VWGOLF,1995,1
VWSHARAN,2010,0
VWTOURAN,2012,0
VWTOURAN,2013,0
VWCRAFTER,2011,2
VWPASSATVARIANT,1999,2
VWBORA,2003,1
VWGOLF,2001,2
VWPASSATVARIANT,2005,2
VWTOURAN,2012,1
VWPASSATVARIANT,1996,2
VWPASSATVARIANT,1993,2
VWPOLO,2003,2
VWPASSAT,2013,0
VWGOLFVARIANT,2001,1
VWGOLFVARIANT,1995,2
VWTRANSPORTER,2000,2
VWLT35,2005,2
VWMULTIVAN,1998,0
VWTRANSPORTER,2002,2
VWGOLF,2000,1
VWCRAFTER,2015,1
VWGOLF,2001,2
VWPASSATVARIANT,2005,1
VWCARAVELLE,2002,1
VWPASSAT,2007,1
VWGOLF,2000,2
VWPASSATVARIANT,2004,1
VWGOLF,2015,0
VWGOLF,1994,2
VWGOLFVARIANT,2001,2
VWAMAROK,2012,2
VWTOURAN,2003,1
VWPASSAT,2005,1
VWSHARAN,2007,0
VWGOLF,2015,1
VWCRAFTER,2016,0
VWTOURAN,2007,1
VWSHARAN,2006,2
VWPASSATVARIANT,1998,2
VWGOLF,2000,2
VWGOLF,2007,2
VWBORA,2003,1
VWSHARAN,2007,1
VWPOLO,2002,1
VWTIGUAN,2017,1
VWGOLFVARIANT,2001,2
VWPASSATVARIANT,1995,2
VWPASSAT,2009,0
VWTOURAN,2005,0
VWPOLO,2001,0
VWPASSAT,2014,1
VWSHARAN,1999,2
VWGOLF,2019,0
VWGOLFVARIANT,1995,2
VWPASSAT,2006,1
VWPASSATVARIANT,1995,1
VWCARAVELLE,1998,1
VWGOLF,1993,2
VWJETTA,2006,1
VWCRAFTER,2008,1
VWGOLF,2002,2
VWJETTA,2015,0
VWJETTA,2017,0
VWGOLFVARIANT,1997,2
VWLT35,2005,2
VWPASSAT,2007,0
VWCRAFTER,2010,1
VWGOLFVARIANT,2005,2
VWPASSATVARIANT,1997,2
VWLT35,2005,2
VWCADDYLIFE,2006,2
VWTRANSPORTER,2003,2
VWGOLF,2000,0
VWTOURAN,2007,1
VWGOLF,2000,1
VWCRAFTER,2008,1
VWPASSATVARIANT,1990,1
VWPASSAT,2012,1
VWPASSAT,2001,1
VWTOURAN,2003,1
VWGOLF,2001,1
VWGOLFSPORTSVAN,2016,0
VWKOMBI,2017,0
VWGOLF,2006,2
VWTOURAN,2004,1
VWPASSAT,2006,1
VWCADDY,2010,1
VWGOLF,1999,2
VWGOLFVARIANT,2000,1
VWTOURAN,2013,0
VWPASSATVARIANT,2001,1
VWGOLF,1999,2
VWGOLF,2005,1
VWSHARAN,1996,1
VWTOURAN,2008,0
VWSHARAN,2005,2
VWPASSAT,2017,0
VWTRANSPORTER,2002,2
VWGOLF,2005,1
VWPASSAT,2009,1
VWSHARAN,1996,1
VWTOURAN,2005,1
VWPASSATVARIANT,2000,1
VWPASSAT,2011,0
VWSHARAN,2004,2
VWGOLF,1998,2
VWGOLF,2005,2
VWTRANSPORTER,1995,1
VWPOLO,2006,2
VWPASSAT,2008,0
VWPASSATVARIANT,1997,1
VWGOLF,2005,1
VWTOUAREG,2015,0
VWGOLF,2003,1
VWCRAFTER,2017,0
VWMULTIVANSTARTLINE,2013,0
VWGOLF,2003,2
VWJETTA,2006,2
VWTOURAN,2003,2
VWTOURAN,2007,1
VWPHAETON,2007,1
VWTOURAN,2004,1
VWTIGUAN,2013,0
VWTRANSPORTER,2009,1
VWGOLF,1998,2
VWTOURAN,2017,0
VWGOLF,2012,2
VWPASSATVARIANT,2001,1
VWPASSAT,2009,0
VWBORA,1999,2
VWTRANSPORTER,2001,1
VWPASSAT,2015,0
VWSHARAN,2002,2
VWGOLFVARIANT,2000,1
VWGOLF,2000,2
VWTRANSPORTER,1998,2
VWPASSAT,1999,2
VWCADDY,2001,1
VWLT46,2002,2
VWPOLO,2006,0
VWTIGUAN,2011,0
VWTRANSPORTER,2003,1
VWCARAVELLE,2010,0
VWMULTIVAN,2017,0
VWPOLO,1995,2
VWCADDY,1999,2
VWTIGUAN,2019,0
VWCADDY,2011,2
VWPASSATVARIANT,1995,1
VWPASSAT,2006,2
VWTIGUAN,2010,0
VWCADDY,2004,2
VWGOLF,2015,0
VWTRANSPORTER,2006,1
VWCRAFTER,2010,2
VWSHARAN,2002,2
VWCARAVELLE,2003,1
VWPASSAT,2015,1
VWGOLFVARIANT,2001,1
VWCADDY,2018,0
VWGOLFVARIANT,1996,2
VWPASSAT,2006,1
VWTOURAN,2004,2
VWPOLO,1997,1
VWCRAFTER,2013,1
VWCRAFTER,2018,0
VWJETTA,2006,1
VWTRANSPORTER,2007,2
VWMULTIVAN,2001,2
VWGOLFPLUS,2006,2
VWAMAROK,2020,0
VWPASSAT,1999,1
VWTRANSPORTER,1995,1
VWPOLO,2008,2
VWGOLF,1988,2
VWCADDY,2010,1
VWPASSAT,2011,1
VWFOX,2008,1
VWTOURAN,2006,1
VWCRAFTER,2010,2
VWSHARAN,2004,1
VWGOLF,1996,1
VWBORA,2000,2
VWBORAVARIANT,2001,2
VWGOLFPLUS,2007,2
VWGOLF,2003,2
VWNEWBEETLE,1999,1
VWGOLF,2006,2
VWTRANSPORTER,1996,1
VWCADDY,2011,0
VWGOLF,1991,2
VWGOLF,1999,2
VWGOLF,2017,0
VWCRAFTER,2010,1
VWTOURAN,2006,1
VWGOLF,2020,0
VWMULTIVAN,2017,0
VWTOURAN,2006,1
VWPASSATVARIANT,1993,2
VWGOLFSPORTSVAN,2015,1
VWPASSAT,2012,2
VWGOLF,2003,1
VWBORA,1999,2
VWCADDY,2009,2
VWTRANSPORTER,2003,2
VWPASSAT,2008,0
VWCRAFTER,2013,2
VWSHARAN,2007,1
VWCADDY,2001,2
VWGOLF,2015,0
VWGOLF,1995,2
VWPASSAT,2011,1
VWPOLOVARIANT,1999,2
VWTOURAN,2007,1
VWGOLFVARIANT,1995,1
VWTRANSPORTER,1999,2
VWGOLFPLUS,2007,2
VWPASSAT,1997,1
VWPOLO,2017,0
VWCRAFTER,2015,1
VWTIGUAN,2019,0
VWCARAVELLE,1996,1
VWGOLF,2011,1
VWCADDY,2014,0
VWTOURAN,2003,2
VWGOLF,1996,2
VWTRANSPORTER,2011,0
VWCRAFTER,2013,1
VWGOLF,2000,1
VWCADDY,2011,1
VWCARAVELLE,2006,0
VWCARAVELLE,1997,2
VWLUPO,2002,1
VWBORAVARIANT,1999,1
VWNEWBEETLE,1999,2
VWSHARAN,2015,1
VWGOLF,1988,2
VWPASSATVARIANT,2005,1
VWGOLFVARIANT,2000,1
VWPOLO,2004,2
VWGOLFPLUS,2007,0
VWGOLF,2013,1
VWBORA,1999,2
VWTRANSPORTER,1999,2
VWSHARAN,1998,2
VWGOLF,1999,2
VWGOLF,2017,0
VWSHARAN,2001,2
VWAMAROK,2015,1
VWCARAVELLE,2000,2
VWCRAFTERPANELVAN,2015,0
VWMULTIVAN,1998,2
VWCADDY,2007,1
VWGOLFVARIANT,2000,1
VWGOLF,2005,0
VWPASSAT,2007,1
VWPASSAT,1997,2
VWPOLO,1997,2
VWGOLF,2001,0
VWTRANSPORTER,1988,2
VWPASSAT,2017,0
VWGOLFVARIANT,2000,2
VWPOLO,2005,1
VWTIGUAN,2019,0
VWTRANSPORTER,2006,2
VWCADDY,2012,0
VWGOLF,1988,2
VWGOLF,1998,2
VWPASSATVARIANT,2005,2
VWGOLF,2012,2
VWPASSAT,2017,0
VWCRAFTER,2008,1
VWSHARAN,2006,1
VWSHARAN,2011,0
VWCRAFTER,2018,2
VWCRAFTER,2007,2
VWPASSATVARIANT,1998,2
VWGOLF,1995,2
VWTOURAN,2011,0
VWGOLF,2008,1
VWTOURAN,2006,1
VWTOURAN,2006,2
VWGOLF,2009,0
VWPOLO,1998,1
VWLT35,2003,2
VWPOLO,2012,2
VWTIGUAN,2014,0
VWGOLF,1999,2
VWPASSAT,2003,1
VWGOLFPLUS,2007,1
VWPOLO,2008,0
VWPOLO,2015,1
VWPASSATVARIANT,2004,2
VWSHARAN,2004,1
VWPASSATVARIANT,2003,1
VWPASSAT,2017,0
VWCADDY,2017,0
VWSHARAN,2014,0
VWGOLF,2003,1
VWGOLF,1988,1
VWJETTA,2016,0
VWGOLFPLUS,2006,1
VWTOUAREG,2019,0
VWPASSAT,2000,2
VWCARAVELLE,1992,2
VWJETTA,2010,2
VWGOLF,2007,2
VWGOLF,2000,1
VWCRAFTER,2016,2
VWGOLF,2014,1
VWGOLF,1998,2
VWGOLF,1999,1
VWGOLF,2003,2
VWTRANSPORTER,2005,3
VWPASSATVARIANT,2003,1
VWPASSAT,2015,0
VWCADDY,2007,1
VWGOLF,2017,0
VWTIGUAN,2008,1
VWPASSAT,1996,1
VWPASSAT,2017,0
VWTRANSPORTER,2003,1
VWGOLFPLUS,2005,2
VWGOLFPLUS,2008,1
VWGOLF,1998,1
VWTIGUAN,2019,0
VWJETTA,2015,0
VWGOLF,2013,1
VWJETTA,2007,1
VWSHARAN,2006,2
VWTRANSPORTER,1995,1
VWTRANSPORTER,1998,2
VWPASSAT,2007,1
VWPASSAT,1997,1
VWPASSAT,2006,1
VWGOLF,2014,0
VWPOLO,1998,1
VWPOLO,2010,0
VWTOURAN,2007,1
VWGOLFPLUS,2011,0
VWPASSATVARIANT,2007,2
VWPASSAT,2007,1
VWTRANSPORTER,1999,1
VWSHARAN,2007,1
VWGOLFPLUS,2005,2
VWPASSAT,2016,0
VWCRAFTER,2009,1
VWGOLF,2006,0
VWTIGUAN,2017,0
VWGOLFSPORTSVAN,2014,0
VWNEWBEETLE,2007,1
VWCADDY,2007,2
VWPASSAT,2001,2
VWTOURAN,2012,0
VWTOURAN,2007,1
VWCADDY,2014,1
VWGOLF,2006,2
VWPASSAT,2008,1
VWGOLF,2014,1
VWCRAFTER,2013,2
VWCADDY,2020,1
VWSHARAN,2004,1
VWGOLFVARIANT,2003,2
VWTOURAN,2010,0
VWCADDY,2015,0
VWCADDY,2014,0
VWPASSAT,2011,0
VWGOLF,2002,2
VWGOLFVARIANT,2003,1
VWGOLFVARIANT,2004,0
VWGOLF,2002,2
VWGOLFVARIANT,2001,2
VWTIGUAN,2008,1
VWTOURAN,2004,2
VWPASSAT,2000,0
VWBORA,2002,2
VWGOLF,1998,2
VWUP!,2014,0
VWLT35,2004,1
VWGOLF,2006,2
VWTIGUAN,2016,0
VWTOUAREG,2005,1
VWGOLF,2015,0
VWGOLF,1991,1
VWTRANSPORTER,1997,2
VWCRAFTER,2015,0
VWGOLF,2001,2
VWPASSATVARIANT,1999,1
VWGOLFPLUS,2009,1
VWSHARAN,2006,2
VWTRANSPORTER,1999,1
VWPOLO,2015,0
VWSHARAN,2003,2
VWGOLF,1991,2
VWPASSAT,1990,1
VWPASSAT,2006,1
VWGOLF,2002,1
VWGOLF,2006,1
VWMULTIVAN,1995,2
VWTOURAN,2007,2
VWGOLF,2019,0
VWTOUAREG,2005,2
VWGOLF,2009,2
VWGOLFPLUS,2008,2
VWPASSAT,1997,2
VWGOLF,2010,0
VWGOLFVARIANT,2001,2
VWBORA,2002,2
VWGOLF,1989,2
VWTRANSPORTER,2004,2
VWJETTA,2006,2
VWGOLF,2001,0
VWMULTIVAN,2017,0
VWPOLO,1999,2
VWPASSATCC,2011,1
VWPASSAT,2005,2
VWPASSATCC,2011,2
VWPASSAT,2007,2
VWPASSAT,2006,0
VWTIGUAN,2017,0
VWARTEON,2019,0
VWTIGUAN,2015,0
VWPOLOVARIANT,1998,2
VWGOLF,2008,1
VWPASSATVARIANT,2000,1
VWPASSATVARIANT,1998,2
VWGOLF,1992,2
VWGOLF,2004,1
VWGOLF,1998,2
VWTOURAN,2011,1
VWGOLF,2003,2
VWPASSATVARIANT,1998,2
VWPASSATVARIANT,1994,2
VWSHARAN,2004,1
VWSHARAN,1999,2
VWPOLO,2013,0
VWGOLFPLUS,2009,1
VWBORA,2000,1
VWPASSAT,1995,2
VWPASSATVARIANT,1988,2
VWPASSAT,2008,2
VWCRAFTER,2012,2
VWTOURAN,2004,2
VWAMAROK,2014,1
VWGOLF,1990,2
VWPASSATVARIANT,1995,1
VWGOLFPLUS,2008,1
VWPASSATVARIANT,2000,1
VWSHARAN,2001,1
VWCRAFTER,2017,0
VWMULTIVAN,1997,1
VWGOLF,2007,2
VWCRAFTER,2012,2
VWGOLF,2009,2
VWCADDY,2008,1
VWSHARAN,2000,1
VWLT35,2005,1
VWPASSAT,2017,1
VWGOLFVARIANT,2003,1
VWCADDY,2008,2
VWCADDY,2005,1
VWCARAVELLE,2010,1
VWGOLF,2007,1
VWPASSAT,2007,2
VWGOLF,1996,3
VWCRAFTER,2016,2
VWTOURAN,2005,2
VWGOLF,2008,1
VWJETTA,2017,0
VWCADDY,2020,1
VWGOLF,2004,1
VWPASSAT,2005,2
VWGOLF,2011,0
VWGOLFVARIANT,2002,2
VWBORA,1999,1
VWBORA,1998,2
VWTRANSPORTER,2001,2
VWTOURAN,2007,0
VWGOLF,2019,0
VWCADDY,2009,1
VWSHARAN,2003,2
VWTRANSPORTER,2006,2
VWTOURAN,2004,2
VWGOLF,2015,0
VWGOLF,2003,2
VWAMAROK,2018,0
VWGOLF,2015,0
VWTOURAN,2006,2
VWTOURAN,2012,0
VWGOLFVARIANT,1996,2
VWTRANSPORTER,2011,1
VWTOURAN,2013,2
VWCADDY,2006,2
VWSHARAN,2004,1
VWTRANSPORTER,2007,1
VWTOURAN,2006,2
VWTOUAREG,2014,2
VWGOLF,2000,2
VWGOLF,2012,0
VWPASSATVARIANT,1996,2
VWPASSATVARIANT,2002,1
